ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_046151,HOT CUP SPEEDWAY 16z,x3-89560,89560,,,*UNAVAILABLE*,a,212 02 000,Case,1000.00,,,,,Master,30.09,0.00,1900-01-01,2075-12-31
_078246,MUSTARD SPICY BROWN,X1-184919,184919,,,*UNAVAILABLE*,a,218 20 001,Each,1.00,,,,,Master,6.54,0.00,2018-07-01,2075-12-31
_122556,MARIE CALLNEDR MW CHIL/CRN 8z,133524,133524,,,,a,601 33 07,Each,1.00,,,,,Master,1.70,0.00,1900-01-01,2075-12-31
_158535,SPEEDWAY COLLEGE FTBALL CUP 32z,x4-121144,121144,,,*UNAVAILABLE*,a,215 02 000,Case,330.00,,,,,Master,20.44,0.00,1900-01-01,2075-12-31
_161794,DUSTMOP DISPOSABLE CUT END,1085570,1085570,,,,a,77 01 270,Each,1.00,,,,,Master,2.22,0.00,1900-01-01,2075-12-31
_190983,FRANKE CLEANING TABLET,x3-1085759,1085759,,,*UNAVAILABLE*,a,94 01 000,Each,1.00,,,,,Master,14.20,0.00,1900-01-01,2075-12-31
_198325,GM WHEATIES 12z,173622,173622,,,,a,601 33 01,Each,1.00,,,,,Master,2.89,0.00,1900-01-01,2075-12-31
_284216,LYSOL SPRAY CRSP LN 6z,119579,119579,,,,a,601 23 190,Each,1.00,,,,,Master,2.21,0.00,1900-01-01,2075-12-31
_351106,SHP NEWPORT BX KS B1G1F,159416,159416,,,,a,501 01 900,Carton,10.00,,,,,Master,21.39,0.00,2007-12-13,2075-12-31
_403477,SHP SALEM GL LT BX 100 $2 OFF,164296,164296,,,,a,501 01 900,Carton,10.00,,,,,Master,0.01,0.00,1900-01-01,2075-12-31
_406249,SHP PARLMNT LT BX KS B2G1F,157864,157864,,,,a,501 01 900,Carton,10.00,,,,,Master,28.82,0.04,2007-12-13,2075-12-31
_408781,SHP MRLBRO MED BX 3PK DEAL,168216,168216,,,,a,501 01 900,Carton,10.00,,,,,Master,41.11,1.31,2007-12-13,2075-12-31
_413302,SHP MRLBRO BL 27 BX KS B1G1F,175787,175787,,,,a,501 01 900,Carton,10.00,,,,,Master,20.62,0.00,2007-12-13,2075-12-31
_413930,SHP CAMEL WIDE MN LT B1G1F,176438,176438,,,,a,501 01 900,Carton,10.00,,,,,Master,21.39,0.00,1900-01-01,2075-12-31
_420448,CAMEL MN WHITE BX,1066955,1066955,,,,a,501 01 104,Carton,10.00,,,,,Master,59.10,0.00,2015-07-12,2075-12-31
_420448,,,,,,,,,,,,,,,Chicago,102.91,0.00,2015-05-24,2075-12-31
_420448,,,,,,,,,,,,,,,Cook,91.11,0.00,2015-05-24,2075-12-31
_420448,,,,,,,,,,,,,,,Illinois,61.11,0.00,2015-05-24,2075-12-31
_420448,,,,,,,,,,,,,,,Indiana,53.91,0.00,2015-05-24,2075-12-31
_420448,,,,,,,,,,,,,,,Kentucky,48.99,0.00,2015-05-24,2075-12-31
_420448,,,,,,,,,,,,,,,Michigan,61.29,0.00,2015-05-24,2075-12-31
_420448,,,,,,,,,,,,,,,WVirginia,49.03,0.00,2015-05-24,2075-12-31
_420448,,,,,,,,,,,,,,,Tennessee,47.68,0.00,2015-05-24,2075-12-31
_420448,,,,,,,,,,,,,,,Pennsylvania,60.97,0.00,2015-05-24,2075-12-31
_453217,GM LUCKY CHARMS 14z,173615,173615,,,,a,601 33 01,Each,1.00,,,,,Master,3.51,0.00,1900-01-01,2075-12-31
_472613,POP-UP COOLER 16 QT,165760,165760,,,,a,601 27 101,Case,10.00,,,,,Master,27.96,0.00,1900-01-01,2075-12-31
_496158,LOWREY SAUSAGE STICK BBQ,138904,138904,,,,a,601 04C 140,Each,1.00,,,,,Master,0.46,0.00,1900-01-01,2075-12-31
_519363,PHILIPE BREAKFAST PIZZA,165973,165973,,,,a,601 17 002,Case,12.00,,,,,Master,18.22,0.00,1900-01-01,2075-12-31
_548800,CHEEZ-IT FIESTA PP 3Z,165131,165131,,,,a,601 04B 000,Each,1.00,,,,,Master,0.69,0.00,2010-06-01,2075-12-31
_551291,JERRY BOY PBNGO CINNAMON,153788,153788,,,,a,601 04 500,Each,1.00,,,,,Master,1.54,0.00,1900-01-01,2075-12-31
_553974,PURE DE-LITE WHT CHOC DIP TWST,155359,155359,,,,a,601 04 000,Box,8.00,,,,,Master,13.71,0.00,1900-01-01,2075-12-31
_554105,CARBORITE CRISPY CARAMEL BAR,155408,155408,,,,a,601 02 100,Box,12.00,,,,,Master,8.82,0.00,1900-01-01,2075-12-31
_554154,WAY LESS PROTEIN CHOC CRUNCH,155435,155435,,,,a,601 04 000,Each,1.00,,,,,Master,0.28,0.00,1900-01-01,2075-12-31
_554303,BODY CHOICE COOKIE DBL CHC CHP,155366,155366,,,,a,601 03 000,Each,1.00,,,,,Master,1.26,0.00,1900-01-01,2075-12-31
_554337,SOY CRISPS WHITE CHEDR,155394,155394,,,,a,601 04A 000,Each,1.00,,,,,Master,0.64,0.00,1900-01-01,2075-12-31
_554394,CARB SLIM PB COOKIE DGH CRUNCH,155376,155376,,,,a,601 02 100,Each,1.00,,,,,Master,1.46,0.00,1900-01-01,2075-12-31
_597419,FOLGERS ADC BAG 13z si,178488,178488,,,,a,601 33 03,Each,1.00,,,,,Master,3.08,0.00,1900-01-01,2075-12-31
_616649,GOULD CLASP ENVE 6X9,170230,170230,,,,a,601 26 460,Each,1.00,,,,,Master,1.08,0.00,2011-07-19,2075-12-31
_618702,BUSH BAKED BEANS 16z,171103,171103,,,,a,601 33 06,Each,1.00,,,,,Master,0.87,0.00,1900-01-01,2075-12-31
_619692,PRINGLES ORIGINAL 1.75z,171359,171359,,,,a,601 04B 000,Each,1.00,,,,,Master,0.49,0.00,1900-01-01,2075-12-31
_653261,HOTPCKT SUB MEATBALL 2PK,172955,172955,,,,a,601 17 000,Each,1.00,,,,,Master,2.14,0.00,1900-01-01,2075-12-31
_659060,KRAFT EASYMAC ORIG CUP,172957,172957,,,,a,601 33 11,Each,1.00,,,,,Master,0.76,0.00,1900-01-01,2075-12-31
_668244,SNYDER HOT BUFF WING,173998,173998,,,,a,601 04B 000,Each,1.00,,,,,Master,0.55,0.00,1900-01-01,2075-12-31
_671453,MENTOS FRUIT ROLL-s/i,175838,175838,,,,a,601 02A 720,Box,20.00,,,,,Master,9.59,0.00,2007-11-26,2075-12-31
_671669,SHP ICE BREAKERS pp$1 96ct,175052,175052,,,,a,601 02A 900,Each,1.00,,,,,Master,63.88,0.00,1900-01-01,2075-12-31
_690958,J LINKS BF STEAK ORG 1z,176106,176106,,,,a,601 04C 130,Box,24.00,,,,,Master,16.86,0.00,1900-01-01,2075-12-31
_691852,OLD WI HOT BEEF STK 5z si 4/7,177057,177057,,,,a,601 04C 000,Each,1.00,,,,,Master,1.96,0.00,1900-01-01,2075-12-31
_694810,CADBURY FRT&NUT PRM 4oz,177945,177945,,,,a,601 02 110,Box,12.00,,,,,Master,11.37,0.00,1900-01-01,2075-12-31
_695569,RED HOTS 5z,177482,177482,,,,a,601 02B 000,Each,1.00,,,,,Master,0.80,0.00,1900-01-01,2075-12-31
_695734,NAB RITZ BIT CHSE 9.5z S.I.3/8,176789,176789,,,,a,601 03 000,Each,1.00,,,,,Master,2.25,0.00,1900-01-01,2075-12-31
_710533,M&M PEANUT CHCOLAT CNDY 16z si,179400,179400,,,,a,601 02B 130,Each,1.00,,,,,Master,2.39,0.00,1900-01-01,2075-12-31
_725259,MHURST APPLE FRITTER,20002953,20002953,,,*UNAVAILABLE*,a,231 05 001,Case,60.00,,,,,Master,30.03,0.00,2016-10-09,2075-12-31
_740142,TOILET BOWL BRUSH,185391,165688,,,*UNAVAILABLE*,a,77 01 330,Each,1.00,,,,,Master,1.13,0.00,1900-01-01,2075-12-31
_745406,ITALIAN COMBO,1085650,1085650,,,*UNAVAILABLE*,a,221 22 101,Case,264.00,,,,,Master,161.57,0.00,1900-01-01,2075-12-31
_786939,REORDER VACA DIRECT $100,181272,181272,,,,a,64 01 000,Each,1.00,,,,,Master,0.25,0.00,1900-01-01,2075-12-31
_828228,EXTRA SLMPK SMOOTH MINT,191735,191735,,,,a,601 02A 134,Box,10.00,,,,,Master,7.20,0.00,2011-08-02,2075-12-31
_877779,NCAA CHAMPIONSHIP KY,1050428,1050428,,,,a,77 03 000,Each,1.00,,,,,Master,0.00,0.00,2012-04-06,2075-12-31
_882092,i/aLETTUCE SHRED 2LB (DO NOT ORDER),1050960,1050960,,,,a,221 01 100,Case,4.00,,,,,Master,8.30,0.00,2012-07-17,2075-12-31
_971036,BLACK OLIVES 10lb TEMP,x2-185010,185010,,,*UNAVAILABLE*,a,Default,Each,1.00,,,,,Master,5.71,0.00,1900-01-01,2075-12-31
_998740,STRAP GTG BREADED CHICKEN,91068222,1068222,,,*UNAVAILABLE*,a,221 04 100,Case,280.00,,,,,Master,6.66,0.00,1900-01-01,2075-12-31
_X1050673,PALL MALL RED BX $.50 OFF,1050673,1050673,,,*UNAVAILABLE*,a,501 01 800,Carton,10.00,,,,,Master,46.80,0.00,1900-01-01,2075-12-31
_X1050673,,,,,,,,,,,,,,,Chicago,62.77,0.00,1900-01-01,2075-12-31
_X1050673,,,,,,,,,,,,,,,Cook,62.77,0.00,1900-01-01,2075-12-31
_X1050673,,,,,,,,,,,,,,,Illinois,42.77,0.00,1900-01-01,2075-12-31
_X1050673,,,,,,,,,,,,,,,Indiana,45.03,0.00,1900-01-01,2075-12-31
_X1050673,,,,,,,,,,,,,,,Kentucky,40.25,0.00,1900-01-01,2075-12-31
_X1050673,,,,,,,,,,,,,,,Michigan,52.82,0.00,1900-01-01,2075-12-31
_X1050673,,,,,,,,,,,,,,,WVirginia,40.19,0.00,1900-01-01,2075-12-31
_X1054254,I/A PALL MALL MN DEEP SET BX B1G$.50 OFF,1054254,1054254,,,*INACTIVE*,a,501 01 800,Carton,10.00,,,,,Master,51.81,0.00,2013-07-11,2075-12-31
_X1054254,,,,,,,,,,,,,,,Pennsylvania,51.81,0.00,2013-07-11,2075-12-31
_X1067878,CAMEL WHITE MELLOW BX $0.75 OFF,1067878,1067878,,,*UNAVAILABLE*,a,501 01 800,Carton,10.00,,,,,Master,54.88,0.00,1900-01-01,2075-12-31
_X1067878,,,,,,,,,,,,,,,Chicago,90.43,0.00,1900-01-01,2075-12-31
_X1067878,,,,,,,,,,,,,,,Cook,90.43,0.00,1900-01-01,2075-12-31
_X1067878,,,,,,,,,,,,,,,Illinois,60.43,0.00,1900-01-01,2075-12-31
_X1067878,,,,,,,,,,,,,,,Indiana,53.18,0.00,1900-01-01,2075-12-31
_X1067878,,,,,,,,,,,,,,,Kentucky,48.27,0.00,1900-01-01,2075-12-31
_X1067878,,,,,,,,,,,,,,,Michigan,60.16,0.00,1900-01-01,2075-12-31
_X1067878,,,,,,,,,,,,,,,WVirginia,48.30,0.00,1900-01-01,2075-12-31
_X1067878,,,,,,,,,,,,,,,Tennessee,46.99,0.00,1900-01-01,2075-12-31
_X1067878,,,,,,,,,,,,,,,Pennsylvania,60.23,0.00,1900-01-01,2075-12-31
_X180502,I/A MRLBRO BX 100 2PK DEAL,180502,180502,,,*INACTIVE*,a,501 01 800,Carton,10.00,,,,,Master,0.10,0.00,1900-01-01,2075-12-31
_X180502,,,,,,,,,,,,,,,Chicago,0.10,0.00,2009-03-26,2075-12-31
_X180502,,,,,,,,,,,,,,,Cook,0.10,0.00,2009-03-26,2075-12-31
_X180502,,,,,,,,,,,,,,,Illinois,0.10,0.00,2009-03-26,2075-12-31
_X180502,,,,,,,,,,,,,,,Indiana,0.10,0.00,2009-03-26,2075-12-31
_X180502,,,,,,,,,,,,,,,Kentucky,0.10,0.00,2009-03-26,2075-12-31
_X180502,,,,,,,,,,,,,,,Michigan,0.10,0.00,2009-03-26,2075-12-31
_X180502,,,,,,,,,,,,,,,WVirginia,0.10,0.00,2009-03-26,2075-12-31
_X182464,I/A CAMEL #9 MN BX B1G$1 OFF-L,182464,182464,,,*INACTIVE*,a,501 01 800,Carton,10.00,,,,,Master,0.10,0.00,1900-01-01,2075-12-31
_X182464,,,,,,,,,,,,,,,Chicago,0.10,0.00,2009-10-23,2075-12-31
_X182464,,,,,,,,,,,,,,,Cook,0.10,0.00,2009-10-23,2075-12-31
_X182464,,,,,,,,,,,,,,,Illinois,0.10,0.00,2009-10-23,2075-12-31
_X182464,,,,,,,,,,,,,,,Indiana,0.10,0.00,2009-10-23,2075-12-31
_X182464,,,,,,,,,,,,,,,Kentucky,0.10,0.00,2009-10-23,2075-12-31
_X182464,,,,,,,,,,,,,,,Michigan,0.10,0.00,2009-10-23,2075-12-31
_X182464,,,,,,,,,,,,,,,WVirginia,0.10,0.00,2009-10-23,2075-12-31
_X912009,DD COTTON CANDY TOPPING,1087452,1087452,,,*INACTIVE*,a,206 26 002,Case,4.00,,,,,Master,66.68,0.00,1900-01-01,2075-12-31
